word,emotion,count
i,fear,5593
you,neutral,4532
the,neutral,4169
and,neutral,2897
a,neutral,2753
to,neutral,2680
me,neutral,2324
my,sadness,2134
not,neutral,1847
love,sadness,1634
that,neutral,1485
in,neutral,1438
it,neutral,1418
is,neutral,1267
do,neutral,1254
of,neutral,1219
will,neutral,1134
on,neutral,1031
am,surprise,912
for,neutral,896
be,neutral,860
your,neutral,853
babi,neutral,848
have,neutral,773
are,neutral,772
all,neutral,765
know,neutral,711
so,neutral,697
we,neutral,694
but,neutral,693
when,fear,686
with,neutral,672
she,neutral,661
oh,neutral,654
go,neutral,615
la,neutral,590
was,neutral,577
he,neutral,575
just,neutral,560
de,neutral,547
well,neutral,523
come,neutral,518
no,neutral,479
now,neutral,460
like,neutral,451
her,neutral,438
heart,sadness,435
what,neutral,432
les,neutral,412
if,anger,411
one,neutral,408
there,neutral,406
got,neutral,392
never,neutral,387
as,neutral,377
down,neutral,377
et,neutral,367
can,neutral,365
this,neutral,363
say,neutral,360
le,neutral,352
back,neutral,347
littl,neutral,347
time,neutral,343
would,neutral,341
way,neutral,338
ca,neutral,333
gonna,sadness,318
day,neutral,317
want,neutral,313
they,neutral,306
tell,neutral,303
who,surprise,303
at,neutral,302
let,neutral,299
from,neutral,295
by,neutral,286
up,neutral,284
how,neutral,282
night,neutral,277
see,neutral,273
get,neutral,272
out,sadness,267
des,neutral,262
whi,surprise,253
blue,neutral,252
his,neutral,247
make,neutral,247
kiss,anger,241
too,neutral,241
girl,neutral,233
him,neutral,229
que,neutral,226
un,sadness,226
then,neutral,225
yeah,neutral,223
pour,neutral,222
caus,neutral,219
je,neutral,219
could,fear,210
said,neutral,200
some,neutral,198
honey,neutral,197
long,neutral,196
onli,neutral,196
give,anger,193
take,anger,193
old,neutral,193
qui,neutral,189
man,neutral,188
more,neutral,187
feel,sadness,186
dream,fear,182
hear,surprise,179
or,neutral,175
true,neutral,175
here,neutral,172
à,disgust,167
gone,sadness,167
been,neutral,166
where,neutral,166
call,neutral,164
think,neutral,164
an,neutral,163
mine,neutral,162
yes,neutral,162
did,neutral,161
much,neutral,161
eye,neutral,160
wanna,sadness,159
had,neutral,158
home,neutral,156
through,neutral,156
away,neutral,155
right,neutral,155
thing,neutral,155
alway,neutral,154
au,neutral,154
en,neutral,151
need,neutral,150
il,neutral,149
around,neutral,147
leav,neutral,147
rock,neutral,146
look,neutral,145
pleas,neutral,144
cest,disgust,142
care,neutral,142
dan,neutral,141
wo,neutral,140
everi,neutral,138
good,neutral,136
tout,neutral,135
again,neutral,134
cri,neutral,134
danc,neutral,131
life,sadness,131
hand,neutral,130
walk,neutral,130
pas,neutral,128
song,sadness,127
boy,neutral,126
our,neutral,124
were,neutral,124
world,neutral,124
keep,neutral,122
hey,neutral,121
about,neutral,120
hold,neutral,118
lord,neutral,118
du,neutral,116
find,neutral,116
made,neutral,116
miss,neutral,116
new,neutral,116
start,fear,115
still,neutral,115
ever,neutral,113
may,neutral,113
left,neutral,112
two,neutral,112
live,neutral,111
tonight,neutral,111
town,neutral,111
sweet,neutral,110
alon,neutral,109
play,neutral,109
sing,neutral,109
ya,neutral,109
better,neutral,108
money,neutral,105
over,neutral,105
wonder,surprise,105
fall,sadness,104
mon,neutral,103
anoth,neutral,102
word,neutral,101
someon,neutral,100
star,neutral,99
them,neutral,98
