artist_id,term
AR002UA1187B9A637D,uk
AR002UA1187B9A637D,rock
AR00B1I1187FB433EB,european
AR00B1I1187FB433EB,classic pop and rock
AR00Y9I1187B999412,british
AR00Y9I1187B999412,metal
AR01HKT1187B996F26,rock
AR01HKT1187B996F26,american
AR01HKT1187B996F26,rock and indie
AR01VU31187B997DA0,hard rock
AR01VU31187B997DA0,rock
AR01VU31187B997DA0,american
AR026PU1187FB43FD9,uk
AR026PU1187FB43FD9,punk
AR026PU1187FB43FD9,british
AR026PU1187FB43FD9,english
AR026PU1187FB43FD9,rock and indie
AR02IU11187FB513F2,jazz
AR02LLE1187B98CDE3,german
AR035N21187FB3938E,electronic
AR03BDP1187FB5B324,pop
AR03BDP1187FB5B324,american
AR03BDP1187FB5B324,pop and chart
AR03BDP1187FB5B324,usa
AR03NAV1187B9920EF,alternative rock
AR03NAV1187B9920EF,rock
AR03NAV1187B9920EF,american
AR03NAV1187B9920EF,pop
AR03Z7E1187FB44816,rock and indie
AR040JZ1187FB399A9,rock
AR040JZ1187FB399A9,pop
AR040JZ1187FB399A9,usa
AR040JZ1187FB399A9,electronic
AR040JZ1187FB399A9,british
AR040JZ1187FB399A9,american
AR040JZ1187FB399A9,classic pop and rock
AR045KI1187FB56E7B,uk
AR045KI1187FB56E7B,british
AR045KI1187FB56E7B,english
AR045KI1187FB56E7B,rock and indie
AR049S81187B9AE8A5,uk
AR049S81187B9AE8A5,british
AR049S81187B9AE8A5,english
AR049S81187B9AE8A5,england
AR049S81187B9AE8A5,rock and indie
AR04KTB1187B99B6B7,rock and indie
AR04ZDS1187B98C504,french
AR04ZDS1187B98C504,indie rock
AR050VJ1187B9B13A7,punk
AR050VJ1187B9B13A7,rock and indie
AR050VJ1187B9B13A7,usa
AR050ZM1187B9B07B5,rock and indie
AR050ZM1187B9B07B5,alternative rock
AR050ZM1187B9B07B5,british
AR051VM1187B9B7F27,english
AR05OG01187B9B8A98,classic pop and rock
AR05OG01187B9B8A98,rock
AR0602H1187B9916B4,classic pop and rock
AR064Q51187B99339B,punk
AR064Q51187B99339B,german
AR065TW1187FB4C3A5,uk
AR065TW1187FB4C3A5,british
AR065TW1187FB4C3A5,english
AR065TW1187FB4C3A5,rock and indie
AR06EB01187FB40150,american
AR06EB01187FB40150,punk
AR06EB01187FB40150,usa
AR06EB01187FB40150,rock
AR06VF41187B9B2BCB,uk
AR06VF41187B9B2BCB,punk
AR06VF41187B9B2BCB,england
AR06VF41187B9B2BCB,classic pop and rock
AR06ZYM1187B992A34,rock
AR06ZYM1187B992A34,english
AR07F8T1187B9964BA,uk
AR07F8T1187B9964BA,punk
AR07KSC1187B9BA606,pop and chart
AR07MCL1187B9B2DCA,european
AR07MCL1187B9B2DCA,german
AR07ROL1187B9B4047,rock and indie
AR07SOR1187FB46179,classic pop and rock
AR07VS41187FB37944,uk
AR07VS41187FB37944,british
AR07VS41187FB37944,english
AR07VS41187FB37944,classic pop and rock
AR08AVM1187FB3B9EE,folk
AR08GQF1187B98E316,metal
AR08GQF1187B98E316,american
