decade,key,tempo_bin,count,major_ratio,avg_tempo
1980,2,10,1,1,10.768
2000,1,10,1,1,10.212
2000,10,15,1,1,18.953
1940,4,20,1,1,23.043
1960,4,20,1,1,23.207
1990,4,20,1,0,21.116
1990,11,20,1,1,20.24
2000,2,20,2,0.5,22.5105
2000,10,20,1,1,24.605
1980,3,25,1,1,28.869
1990,2,25,1,1,29.696
1990,4,25,2,0.5,28.768
2000,0,25,1,1,28.14
2000,5,25,1,1,26.203
2000,7,25,2,0,27.069
2000,8,25,1,1,26.872
2000,9,25,2,1,26.904
1970,1,30,1,0,33.484
1980,0,30,1,1,34.335
1980,4,30,1,1,30.629
1980,5,30,1,1,30.956
1980,6,30,1,0,31.162
1980,7,30,1,0,33.02
1990,1,30,3,1,31.54266667
1990,2,30,2,0.5,33.8365
1990,5,30,3,1,34.02866667
1990,6,30,2,1,33.3635
1990,7,30,2,1,31.9475
1990,8,30,1,1,34.095
1990,9,30,2,0.5,32.902
1990,10,30,1,1,34.26
2000,0,30,3,0.666666667,33.541
2000,2,30,2,1,32.8265
2000,3,30,3,0.333333333,33.07466667
2000,4,30,4,0.75,32.57175
2000,5,30,2,1,31.751
2000,6,30,1,1,32.483
2000,7,30,3,0.333333333,33.70833333
2000,9,30,4,0.5,31.8505
2000,10,30,3,0.666666667,32.668
2000,11,30,1,1,34.001
2010,2,30,2,0.5,31.797
1950,1,35,1,0,38.247
1950,2,35,1,1,36.88
1960,1,35,1,1,39.468
1960,3,35,1,1,38.995
1960,7,35,1,1,39.799
1960,11,35,1,0,38.411
1970,5,35,3,1,38.38666667
1980,0,35,2,1,35.852
1980,2,35,3,0.666666667,36.91133333
1980,3,35,1,1,39.944
1980,6,35,1,0,39.568
1980,7,35,1,1,39.836
1980,9,35,1,1,37.931
1980,10,35,1,1,39.65
1980,11,35,1,1,38.823
1990,0,35,9,0.666666667,37.75388889
1990,1,35,3,0.666666667,37.91366667
1990,2,35,1,1,35.415
1990,4,35,3,1,36.11366667
1990,5,35,6,0.666666667,38.87316667
